place_id,gas_type,price,longitude,latitude,date
10938,premium,29.79,-100.2263,25.93134,2026-05-22
10938,diesel,28.28,-100.2263,25.93134,2026-05-22
3649,regular,23.99,-106.378,23.23933,2026-05-22
3649,premium,28.79,-106.378,23.23933,2026-05-22
3530,regular,23.29,-99.28056,19.59318,2026-05-22
3530,premium,27.59,-99.28056,19.59318,2026-05-22
3530,diesel,26.89,-99.28056,19.59318,2026-05-22
3365,regular,23.99,-99.04985,19.50356,2026-05-22
3365,premium,28.29,-99.04985,19.50356,2026-05-22
3675,regular,23.99,-102.0523,19.41358,2026-05-22
3675,diesel,27,-102.0523,19.41358,2026-05-22
3675,premium,28.99,-102.0523,19.41358,2026-05-22
3479,diesel,27,-103.4926,20.48913,2026-05-22
3479,regular,23.99,-103.4926,20.48913,2026-05-22
3479,premium,29.99,-103.4926,20.48913,2026-05-22
3566,regular,23.99,-99.14212,19.7098,2026-05-22
3566,premium,28.89,-99.14212,19.7098,2026-05-22
3463,diesel,27.49,-101.5741,21.87517,2026-05-22
3463,regular,23.99,-101.5741,21.87517,2026-05-22
3463,premium,28.99,-101.5741,21.87517,2026-05-22
3619,premium,28.59,-101.204,20.55286,2026-05-22
3619,regular,24.19,-101.204,20.55286,2026-05-22
3665,regular,23.99,-106.3904,23.26572,2026-05-22
3665,premium,28.79,-106.3904,23.26572,2026-05-22
3561,regular,23.99,-106.4457,23.23971,2026-05-22
3561,premium,28.79,-106.4457,23.23971,2026-05-22
3608,diesel,27.49,-101.5934,21.86086,2026-05-22
3608,regular,23.99,-101.5934,21.86086,2026-05-22
3608,premium,28.99,-101.5934,21.86086,2026-05-22
3599,regular,24.49,-109.9335,22.90346,2026-05-22
3599,premium,29.69,-109.9335,22.90346,2026-05-22
3375,regular,24.49,-109.7075,23.08076,2026-05-22
3375,premium,29.69,-109.7075,23.08076,2026-05-22
3375,diesel,27.99,-109.7075,23.08076,2026-05-22
3195,regular,24.49,-109.9642,22.9073,2026-05-22
3195,premium,29.69,-109.9642,22.9073,2026-05-22
3195,diesel,27.99,-109.9642,22.9073,2026-05-22
3544,regular,23.99,-100.7631,20.88853,2026-05-22
3544,premium,28.7,-100.7631,20.88853,2026-05-22
3544,diesel,27,-100.7631,20.88853,2026-05-22
3581,regular,23.78,-103.8039,19.21511,2026-05-22
3581,premium,28.89,-103.8039,19.21511,2026-05-22
3581,diesel,28.28,-103.8039,19.21511,2026-05-22
3324,regular,23.99,-105.2225,20.62188,2026-05-22
3324,premium,28.99,-105.2225,20.62188,2026-05-22
3324,diesel,27,-105.2225,20.62188,2026-05-22
3184,regular,23.99,-100.9607,22.10983,2026-05-22
3184,premium,28.5,-100.9607,22.10983,2026-05-22
3184,diesel,27,-100.9607,22.10983,2026-05-22
3661,regular,23.99,-100.2277,25.87509,2026-05-22
3661,premium,29.99,-100.2277,25.87509,2026-05-22
3661,diesel,28.28,-100.2277,25.87509,2026-05-22
3616,diesel,27,-103.907,20.28879,2026-05-22
3616,regular,23.99,-103.907,20.28879,2026-05-22
3616,premium,29.99,-103.907,20.28879,2026-05-22
3310,premium,28.48,-99.15462,19.53954,2026-05-22
3310,regular,23.78,-99.15462,19.53954,2026-05-22
3288,regular,24.99,-101.6872,21.1338,2026-05-22
3288,premium,29.99,-101.6872,21.1338,2026-05-22
3374,regular,23.99,-101.7034,21.14681,2026-05-22
3374,premium,29.99,-101.7034,21.14681,2026-05-22
3374,diesel,27,-101.7034,21.14681,2026-05-22
3644,premium,28.69,-100.4409,20.5295,2026-05-22
3644,regular,23.79,-100.4409,20.5295,2026-05-22
3427,premium,29.1,-101.3708,20.65398,2026-05-22
3427,regular,23.99,-101.3708,20.65398,2026-05-22
3427,diesel,27,-101.3708,20.65398,2026-05-22
3673,regular,22.59,-99.64745,19.28985,2026-05-22
3673,premium,28.19,-99.64745,19.28985,2026-05-22
3401,diesel,26.99,-97.74451,18.89199,2026-05-22
